id,key,value,type
219850,ref,276C,regular
219850,exit_to,Joliet Road,regular
219850,highway,motorway_junction,regular
20217411,source,PGS,regular
26220949,highway,traffic_signals,regular
26606134,created_by,YahooApplet 1.0,regular
26638073,created_by,YahooApplet 1.0,regular
26822206,created_by,YahooApplet 1.0,regular
27198427,created_by,JOSM,regular
27366996,ref,37A,regular
27366996,highway,motorway_junction,regular
27446489,highway,traffic_signals,regular
27666878,ref,9,regular
27666878,highway,motorway_junction,regular
29053609,created_by,JOSM,regular
29412106,highway,traffic_signals,regular
30561018,created_by,JOSM,regular
153367813,ele,239,regular
153367813,name,Bonnie Valley,regular
153367813,is_in,"Kane,Illinois,Ill.,IL,USA",regular
153367813,place,hamlet,regular
153367813,id,2025828,gnis
153367813,Class,Populated Place,gnis
153367813,County,Kane,gnis
153367813,ST_num,17,gnis
153367813,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
153367813,ST_alpha,IL,gnis
153367813,County_num,089,gnis
153413159,ele,235,regular
153413159,name,Woodland Estates,regular
153413159,is_in,"Lake,Illinois,Ill.,IL,USA",regular
153413159,place,hamlet,regular
153413159,id,2037984,gnis
153413159,Class,Populated Place,gnis
153413159,County,Lake,gnis
153413159,ST_num,17,gnis
153413159,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
153413159,ST_alpha,IL,gnis
153413159,County_num,097,gnis
153464547,ele,181,regular
153464547,name,South Branch Addition,regular
153464547,is_in,"Cook,Illinois,Ill.,IL,USA",regular
153464547,place,neighbourhood,regular
153464547,id,1772613,gnis
153464547,Class,Populated Place,gnis
153464547,County,Cook,gnis
153464547,ST_num,17,gnis
153464547,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
153464547,ST_alpha,IL,gnis
153464547,County_num,031,gnis
153510843,ele,183,regular
153510843,name,Mid-North District,regular
153510843,is_in,"Cook,Illinois,Ill.,IL,USA",regular
153510843,place,neighbourhood,regular
153510843,id,1831145,gnis
153510843,Class,Populated Place,gnis
153510843,County,Cook,gnis
153510843,ST_num,17,gnis
153510843,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
153510843,ST_alpha,IL,gnis
153510843,County_num,031,gnis
153561986,ele,183,regular
153561986,name,South Lynn,regular
153561986,is_in,"Cook,Illinois,Ill.,IL,USA",regular
153561986,place,neighbourhood,regular
153561986,id,1836762,gnis
153561986,Class,Populated Place,gnis
153561986,County,Cook,gnis
153561986,ST_num,17,gnis
153561986,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
153561986,ST_alpha,IL,gnis
153561986,County_num,031,gnis
153614027,ele,181,regular
153614027,name,New Auburn,regular
153614027,is_in,"Cook,Illinois,Ill.,IL,USA",regular
153614027,place,neighbourhood,regular
153614027,id,1737802,gnis
153614027,Class,Populated Place,gnis
153614027,County,Cook,gnis
153614027,ST_num,17,gnis
153614027,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
153614027,ST_alpha,IL,gnis
153614027,County_num,031,gnis
153670139,ele,214,regular
153670139,name,Arlington Heights,regular
153670139,is_in,"Cook,Illinois,Ill.,IL,USA",regular
153670139,place,village,regular
153670139,id,403611,gnis
153670139,Class,Populated Place,gnis
153670139,population,76031,regular
153670139,year,2000,census
153670139,County,Cook,gnis
153670139,ST_num,17,gnis
153670139,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
153670139,ST_alpha,IL,gnis
153670139,County_num,031,gnis
153715839,ele,183,regular
153715839,name,Corwith,regular
153715839,is_in,"Cook,Illinois,Ill.,IL,USA",regular
153715839,place,neighbourhood,regular
153715839,id,1737457,gnis
153715839,Class,Populated Place,gnis
153715839,County,Cook,gnis
153715839,ST_num,17,gnis
153715839,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
153715839,ST_alpha,IL,gnis
153715839,County_num,031,gnis
153762190,ele,207,regular
153762190,name,West Lake Forest,regular
153762190,is_in,"Lake,Illinois,Ill.,IL,USA",regular
153762190,place,hamlet,regular
153762190,id,420865,gnis
153762190,Class,Populated Place,gnis
153762190,County,Lake,gnis
153762190,ST_num,17,gnis
153762190,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
