id,key,value,type
4279164,name,Janes Avenue,regular
4279164,highway,tertiary,regular
4368534,ref,D8,regular
4368534,name,D8,regular
4368534,aeroway,taxiway,regular
4368534,airport_ref,ORD,regular
4384449,name,Finley Road,regular
4384449,layer,1,regular
4384449,bridge,yes,regular
4384449,oneway,yes,regular
4384449,highway,secondary,regular
4515517,hgv,designated,regular
4515517,ref,I 80;I 90,regular
4515517,foot,no,regular
4515517,name,Indiana Toll Road,regular
4515517,toll,yes,regular
4515517,horse,no,regular
4515517,lanes,2,regular
4515517,oneway,yes,regular
4515517,source,bing,regular
4515517,bicycle,no,regular
4515517,highway,motorway,regular
4515517,sidewalk,none,regular
4777207,horse,yes,regular
4777207,bicycle,yes,regular
4777207,highway,footway,regular
12250140,toll,yes,regular
12250140,oneway,yes,regular
12250140,highway,motorway_link,regular
17408253,name,Hyles Avenue,regular
17408253,highway,residential,regular
17408253,cfcc,A41,tiger
17408253,county,"Lake, IN",tiger
17408253,reviewed,no,tiger
17408253,zip_left,46320,tiger
17408253,name_base,Hyles,tiger
17408253,name_type,Ave,tiger
17408253,zip_right,46320,tiger
17408855,highway,residential,regular
17408855,cfcc,A41,tiger
17408855,tlid,98422870:98422872,tiger
17408855,county,"Lake, IN",tiger
17408855,source,tiger_import_dch_v0.6_20070810,tiger
17408855,reviewed,no,tiger
17408855,separated,no,tiger
17408855,upload_uuid,bulk_upload.pl-4d37b670-d7a9-48bd-a47e-757150514641,tiger
17409457,highway,residential,regular
17409457,cfcc,A41,tiger
17409457,tlid,98454446,tiger
17409457,county,"Lake, IN",tiger
17409457,source,tiger_import_dch_v0.6_20070810,tiger
17409457,reviewed,no,tiger
17409457,separated,no,tiger
17409457,upload_uuid,bulk_upload.pl-4d37b670-d7a9-48bd-a47e-757150514641,tiger
17409988,name,Alabama Street,regular
17409988,highway,residential,regular
17409988,cfcc,A41,tiger
17409988,county,"Lake, IN",tiger
17409988,reviewed,no,tiger
17409988,zip_left,46342,tiger
17409988,name_base,Alabama,tiger
17409988,name_type,St,tiger
17409988,zip_right,46342,tiger
17410320,name,Walnut Avenue,regular
17410320,highway,residential,regular
17410320,cfcc,A41,tiger
17410320,county,"Lake, IN",tiger
17410320,reviewed,no,tiger
17410320,zip_left,46324,tiger
17410320,name_base,Walnut,tiger
17410320,name_type,Ave,tiger
17410320,zip_right,46324,tiger
17410587,name,Waite Street,regular
17410587,highway,residential,regular
17410587,cfcc,A41,tiger
17410587,county,"Lake, IN",tiger
17410587,reviewed,no,tiger
17410587,zip_left,46410,tiger
17410587,name_base,Waite,tiger
17410587,name_type,St,tiger
17410587,zip_right,46410,tiger
17410965,name,North Harvey Avenue,regular
17410965,highway,residential,regular
17410965,cfcc,A41,tiger
